followers,f_of_f_candidate_followers,n_f_of_f,ratio,n_candidate_followers,ratio_normalized,UserID,Real Name,Screenname,Profile Description,Profile Created At,URL,Location,UTC Offset,Time Zone,Favourites Count,Friends Count,Followers Count,Statuses Count,Profile Image URL,candidate_name,names_merge
4.1757005850949325e+17,0.8159161710563579,978.0328518833192,0.0013664349499023594,3531.0,3.869824270468311e-07,150078976,Chris Murphy,ChrisMurphyCT,U.S. Senator from Connecticut.,Mon May 31 01:22:43 +0000 2010,None, ,None,None,1212,201,791934,19409,http://pbs.twimg.com/profile_images/871076844904361985/7NorOQHB.jpg,chris murphy,chris murphy
4.038820123649724e+17,4.088251986379115,1246.727298524404,0.009272132807408821,3524.0,2.631138708118285e-06,166374616,John Bel Edwards,LouisianaGov,56th Governor of the State of Louisiana.,Wed Jul 14 00:32:49 +0000 2010,https://t.co/rMZvU1zOjy,"Louisiana, USA",None,None,5248,5868,56257,5552,http://pbs.twimg.com/profile_images/684948311397150721/0u94DBry.jpg,john bel edwards,john edwards
3.823794803429094e+17,1.190075693860387,2153.6248948696384,0.002722704300258284,3567.0,7.633037006611374e-07,172858784,Tim Kaine,timkaine,"Husband to @AnneHolton, father of 3. U.S. Senator from Virginia. In my free time, I’m either outdoors, reading, or jamming on the harmonica.",Fri Jul 30 20:00:32 +0000 2010,https://t.co/YNK0Xrmt2G,"Richmond, VA",None,None,836,774,987493,10065,http://pbs.twimg.com/profile_images/922472118377476096/XqCk_uDv.jpg,tim kaine,tim kaine
3.428178764637441e+17,4.387114239306984,2229.9236599891715,0.004515425408032206,3694.0,1.2223674629215514e-06,202206694,Sen. John Barrasso,SenJohnBarrasso,"U.S. Senator for the great state of Wyoming, @SenateGOP Chairman, and Chairman of @EPWGOP.",Wed Oct 13 14:49:08 +0000 2010,http://t.co/oAKWpUrAWS, ,None,None,21,518,118471,4362,http://pbs.twimg.com/profile_images/1143907394/twitter_profile_pic.JPG,sen john barrasso,sen barrasso
3.683538044038823e+17,2.837651598676957,1582.3789966923925,0.0049711457207432435,3628.0,1.3702165713184241e-06,216503958,Archive: Senator Joe Donnelly,SenDonnelly,"The archived tweets of Joe Donnelly, former U.S. Senator for Indiana (1/3/13-1/3/19). This is an inactive account.",Tue Nov 16 22:24:01 +0000 2010,http://t.co/fSOunnwiXz, ,None,None,3,215,112204,6141,http://pbs.twimg.com/profile_images/857707501067923457/TdS-N-Yx.jpg,archive: senator joe donnelly,archive: donnelly
4.364988246342903e+17,0.01938746838999719,456.5186850238831,1.8436977668952686e-05,3559.0,5.180381474839192e-09,216776631,Bernie Sanders,BernieSanders,U.S. Senator from Vermont and candidate for President of the United States.,Wed Nov 17 17:53:52 +0000 2010,https://t.co/jpg8Sp1GhR,Vermont,None,None,980,1389,9630248,14633,http://pbs.twimg.com/profile_images/1097820307388334080/9ddg5F6v.png,bernie sanders,bernie sanders
3.9030414161105715e+17,1.7550793209017534,1342.0025048705818,0.0028087542160736196,3593.0,7.817295341145603e-07,234374703,Senator Joe Manchin,Sen_JoeManchin,"U.S. Senator for #WV. Ranking member @EnergyDems. Please do not hesitate to contact me to share your commonsense ideas, concerns or if you need assistance.",Wed Jan 05 14:13:33 +0000 2011,http://t.co/KZ8ptSeHhI,"West Virginia, USA",None,None,193,741,181748,6212,http://pbs.twimg.com/profile_images/907719517266219008/am4POdPf.jpg,senator joe manchin,senator manchin
4.044551228412389e+17,1.4338194054963544,1341.8325855300056,0.0014496232062576782,3566.0,4.06512396594974e-07,242555999,Sheldon Whitehouse,SenWhitehouse,"U.S. Senator from Rhode Island, the Ocean State.",Tue Jan 25 01:52:03 +0000 2011,https://t.co/zi0ijI1KND,Rhode Island,None,None,484,1836,332376,12494,http://pbs.twimg.com/profile_images/1136336143358734336/Iu2Kvnww.png,sheldon whitehouse,sheldon whitehouse
3.658567929004952e+17,4.073109243697479,1655.7394957983192,0.004613068024890789,3570.0,1.2921759173363554e-06,249787913,Senator Tom Carper,SenatorCarper,"Husband, father, proud @USNavy veteran and former governor. U.S. Senator for Delaware and ranking member @EPWDems",Wed Feb 09 19:46:42 +0000 2011,http://t.co/0KSoFFra6j,Delaware,None,None,1145,1429,96470,8448,http://pbs.twimg.com/profile_images/378800000497501114/77d2bd85a246e66e8f77670018fbaaca.jpeg,senator tom carper,senator carper
1.6651949871335795e+17,40.10843014596366,3411.9475722371167,0.06247927757211909,3357.0,1.8611640623210955e-05,258671240,Allen Thomas,AllenThomas4ENC,2019 #NC03 Congressional Candidate | Special Election,Mon Feb 28 06:22:24 +0000 2011,https://t.co/KEK1NnKzH2,North Carolina,None,None,2076,614,4161,2442,http://pbs.twimg.com/profile_images/1123970131032461318/mDNSX7kn.jpg,allen thomas,allen thomas
